id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url,nutritional_info,novedad
60_12,Pan de molde y otras especialidades,Barra de pan tradicional,Paquete 700 g,"1,28 €",,https://prod-mercadona.imgix.net/images/25c4bc7eecd7bb503f2339aac9059af4.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/8cd4313e6ae295840f24491954e7f6e0.jpg?fit=crop&h=600&w=600,"Barra de pan tradicional, Paquete, 700 Gramos, 1,28€ por Unidad",False
60_13,Pan de molde y otras especialidades,Pan de molde espelta 100% integral Hacendado natural,Paquete 16 rebanadas (550 g),"1,75 €",,https://prod-mercadona.imgix.net/images/174093fd98d687d6f3e191a0207cc828.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/7bc16431685c40e85e2e754fa407550b.jpg?fit=crop&h=600&w=600,"Pan de molde espelta 100% integral Hacendado natural, Paquete, 16 rebanadas (550 g), 1,75€ por Unidad",False
60_14,Pan de molde y otras especialidades,Pan de molde con 35% avena Hacendado 0% azúcares añadidos con harina 100% integral,Paquete 12 rebanadas (460 g),"1,37 €",,https://prod-mercadona.imgix.net/images/cfc13f1dfe16be2a774a9ca380b7184d.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/68910b4932c3732aabf813e52cd0ebb1.jpg?fit=crop&h=600&w=600,"Pan de molde con 35% avena Hacendado 0% azúcares añadidos con harina 100% integral, Paquete, 12 rebanadas (460 g), 1,37€ por Unidad",False
60_15,Pan de molde y otras especialidades,Pan de molde semillas y pipas de calabaza Hacendado,Paquete 14 rebanadas (580 g),"1,65 €",,https://prod-mercadona.imgix.net/images/2c503fa3d2fb1a21bf062e8a9b9affae.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/acd0278b46d4d461d1a461255cd16cdd.jpg?fit=crop&h=600&w=600,"Pan de molde semillas y pipas de calabaza Hacendado, Paquete, 14 rebanadas (580 g), 1,65€ por Unidad",False
60_16,Pan de molde y otras especialidades,Pan de molde con 55% centeno Hacendado,Paquete 16 rebanadas (720 g),"1,47 €",,https://prod-mercadona.imgix.net/images/f9b68761bf2dfe1c91dabcb96b64afe5.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/6a4256d5308735916666dce39ef21266.jpg?fit=crop&h=600&w=600,"Pan de molde con 55% centeno Hacendado, Paquete, 16 rebanadas (720 g), 1,47€ por Unidad",False
60_17,Pan de molde y otras especialidades,Pan de molde 12 cereales y semillas Hacendado,Paquete 16 rebanadas (680 g),"1,61 €",,https://prod-mercadona.imgix.net/images/bf669c3d9063dfe4e7ba8f105f36b704.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/9ae959c43549aedb7f30cc0430d431a4.jpg?fit=crop&h=600&w=600,"Pan de molde 12 cereales y semillas Hacendado, Paquete, 16 rebanadas (680 g), 1,61€ por Unidad",False
60_18,Pan de molde y otras especialidades,Hogaza sin gluten,Paquete 300 g,"2,96 €",,https://prod-mercadona.imgix.net/images/af38980c089d2ef99559f4ecaa47cc7d.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/7ab7fd6267a94c30c77537c398951325.jpg?fit=crop&h=600&w=600,"Hogaza sin gluten, Paquete, 300 Gramos, 2,96€ por Unidad",False
60_19,Pan de molde y otras especialidades,Pan Brioche Hacendado,Paquete 14 rebanadas (400 g),"2,35 €",,https://prod-mercadona.imgix.net/images/093aa5fd71175cc58f2cdecd129572cf.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/58803af6edd8bcefebfbbc8d6c9e5464.jpg?fit=crop&h=600&w=600,"Pan Brioche Hacendado, Paquete, 14 rebanadas (400 g), 2,35€ por Unidad",False
60_20,Pan de molde y otras especialidades,Pan Bagel Hacendado,Paquete 4 ud. (300 g),"1,42 €",,https://prod-mercadona.imgix.net/images/deb6982c67ead259fb2a94c2c7492225.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/74515709dee2667f7906f6e9137858fc.jpg?fit=crop&h=600&w=600,"Pan Bagel Hacendado, Paquete, 4 Unidades (300 g), 1,42€ por Unidad",False
60_21,Pan de molde y otras especialidades,Pan redondo sin gluten Hacendado,Paquete 2 ud. (160 g),"1,93 €",,https://prod-mercadona.imgix.net/images/a3a8bd862ae9048c2fb1b2c56523bcad.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/0461887a213cdaf44c831c18d7eda18d.jpg?fit=crop&h=600&w=600,"Pan redondo sin gluten Hacendado, Paquete, 2 Unidades (160 g), 1,93€ por Unidad",False
