id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url
67,Yogures y postres infantiles,Postre lácteo infantil de galleta Hacendado +8 meses,1 ud. (100 g),"0,95 €",,https://prod-mercadona.imgix.net/images/ca8f764f951205b8fdd07892775b14ed.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/ca8f764f951205b8fdd07892775b14ed.jpg?fit=crop&h=600&w=600
68,Yogures y postres infantiles,Postre lácteo infantil de cereales y miel Hacendado +12 meses,1 ud. (100 g),"0,95 €",,https://prod-mercadona.imgix.net/images/bcc110433c7462dfc24e8e901379b3c7.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/c91e735e015d9969fcaa208cbc13a38f.jpg?fit=crop&h=300&w=300
69,Yogures líquidos,Yogur líquido de fresa Hacendado,12 mini botellas x 100 g,"1,95 €",,https://prod-mercadona.imgix.net/images/5246df6b92d37bf788da3733179e8d3a.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/3696d36427464f95e6223aff93ffda8f.jpg?fit=crop&h=300&w=300
70,Yogures líquidos,Bebida láctea de fresa y plátano Hacendado,Botella 1 kg,"1,40 €",,https://prod-mercadona.imgix.net/images/a4a866cae37a8bd6b92746f8a36c8be3.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/df0bc1fd3d26acef015b9ca26bafc816.jpg?fit=crop&h=600&w=600
71,Yogures líquidos,Yogur líquido desnatado de Fresa Hacendado 0% m.g 0% sin azúcares añadidos,Botella 1 kg,"1,40 €",,https://prod-mercadona.imgix.net/images/fb572b532c7e0917c761ee16b6f5367d.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/79aa4be9c3629e837a409b154217e92c.jpg?fit=crop&h=300&w=300
72,Yogures líquidos,Bebida láctea de fresa Hacendado,Botella 1 kg,"1,40 €",,https://prod-mercadona.imgix.net/images/fe02631a74c78e85cfa61a76f3a80dc5.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/d19bc49c506428c43440f17304a948a6.jpg?fit=crop&h=300&w=300
73,Yogures líquidos,Bebida láctea de piña y coco Hacendado,Botella 1 kg,"1,40 €",,https://prod-mercadona.imgix.net/images/65ca5e0cbd5a1f0deed60a449fed62d9.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/65ca5e0cbd5a1f0deed60a449fed62d9.jpg?fit=crop&h=600&w=600
74,Yogures líquidos,Bebida láctea de frutas del bosque Hacendado,Botella 1 kg,"1,40 €",,https://prod-mercadona.imgix.net/images/2958a31bef0535fa62335fb1e1213471.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/f28e66b4a5ff801c1736d632bb821d35.jpg?fit=crop&h=300&w=300
75,Yogures líquidos,Yogur líquido natural Hacendado con azúcar de caña,12 mini botellas x 100 g,"1,95 €",,https://prod-mercadona.imgix.net/images/b2f3d2bd1ac52ac87c90effa1d4926b4.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/b2f3d2bd1ac52ac87c90effa1d4926b4.jpg?fit=crop&h=600&w=600
76,Yogures líquidos,Yogur líquido desnatado Piña y Coco Hacendado 0% m.g 0% sin azúcares añadidos,Botella 1 kg,"1,40 €",,https://prod-mercadona.imgix.net/images/c9343e1589787d49d2694294f7410f85.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/192f43c4bb398bd77bc82b779b1288fc.jpg?fit=crop&h=300&w=300
77,Yogures líquidos,Yogur líquido desnatado Frutos Silvestres Hacendado 0% m.g 0% sin azúcares añadidos,Botella 1 kg,"1,40 €",,https://prod-mercadona.imgix.net/images/9cccfe42d4e1a4c7fde6343f9a36552a.jpg?fit=crop&h=300&w=300,
78,Yogures líquidos,Bebida láctea natural azucarada Hacendado,Botella 1 kg,"1,40 €",,https://prod-mercadona.imgix.net/images/8761b9c14379e95faf67971a4d59eed4.jpg?fit=crop&h=300&w=300,
79,Yogures líquidos,Bebida láctea desnatada sabor fresa +Proteínas Hacendado 0% m.g 20 g proteínas,Botella 280 g,"1,15 €",,https://prod-mercadona.imgix.net/images/2bf63256a9cde6b71c7dbd55d938a26b.jpg?fit=crop&h=300&w=300,
